stateAbbr,placeName,population2010,noHealthInsurance,highBP,asthma,smoker,noLeisureExercise,obeese,sleepDeprived
WA,Renton,90927,11.2,25.4,9.3,11.9,17.5,22,31.7
WA,Seattle,608660,8.2,23.9,9,9.9,14.7,21.1,29.1
WA,Spokane,208916,10.6,28.4,11.2,18.7,22.2,30.1,32.7
WA,Spokane Valley,89755,10.1,27.5,11,18.1,21.3,29.1,32.2
WA,Tacoma,198397,11.8,32.2,11.3,18.4,22.8,31.1,37.9
WA,Vancouver,161791,11.1,28.4,10.4,17.6,19.9,34,32.4
WA,Yakima,91067,20.2,31.8,11.3,18.4,28.6,37.7,33.8
WV,Charleston,51400,10.9,39.7,11.3,22.3,28.4,38.8,40.3
WI,Appleton,72623,10,27.1,9.5,18,21.7,32,29.7
WI,Green Bay,104057,12.7,29.7,10.2,19.8,24.3,35.3,36
WI,Kenosha,99218,13,29.6,9.9,20.5,24.6,33.3,34.7
WI,Madison,233209,8.6,25.9,9.1,13.7,18.7,27.5,29.3
WI,Milwaukee,594833,16.2,34.4,11.3,22.4,30.6,36.2,39.2
WI,Racine,78860,15.5,32.1,10.7,21.1,26.5,40.2,39.8
WI,Waukesha,70718,10.1,27.3,9.2,16.5,21.3,31.5,33.2
WY,Cheyenne,59466,16.3,29.1,9.6,18.6,25.6,29.4,33.4
